# Constructed from biom file
#OTU ID	PUF-IPEX-3	PUF-BOU-7	PUF-MBO-4	PUF-BOT-3	CTRL-neg-extraction-PUF	PUF-BOT-10	PUF-JD-10	PUF-IPEX-1	PUF-IPEX-8	PUF-JD14
8187787e018ce4815342f12d65ff7dc8	37.0	0.0	57.0	0.0	0.0	0.0	0.0	1.0	0.0	151.0
8e912b58de9ac7c94d8ccdb252e4256b	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
915a47b4d3aa9b7794496314e638d3f4	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ce9e585d5196adf56f4e2c0e02e27b73	34.0	0.0	16.0	0.0	0.0	108.0	9.0	0.0	5.0	0.0
84fc56f0b8549db7f28efc3c5393cd75	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1df8ad75688f7b9844c611cc87f3f889	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0
911691df900d63866f995dc97e6fb804	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0cb8545bcd40c39e0dc3b54c890b9b19	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26546df439865e41f784f18f7a701b54	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
945d952a1ecf5c47f2e6d707ba8048bb	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4d49fe44879812a0b0f69cc2ecfff3e9	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ede510d310252729eec3c51068e583e0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41c45339d38abd4ca6fa64f0573bf936	25.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
fddd63d43d5f4e96da038b4517dbebce	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
696a81121e22498ecd36b0222a1f3e45	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6a73afbd4d193e9f1e3393f8fc0d0751	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b13a07a3dbfa89683b970f2fafb3f2ba	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3622d4cdf954a474607e887ff8e0e8d6	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68d00464a20b39785bcf8de918ec41dc	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dc2016da0d821801aa1a04d64573b9a9	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c23caf9278e0952a7d0738be34f6b169	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2250adcd41754c790d69ce89c4d7eec4	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0b00058d4ea560d1f485a16ec9bd4bbb	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a26e6cc23365c60897b7d620c23de990	18.0	0.0	5.0	0.0	0.0	0.0	66.0	0.0	0.0	125.0
e36d30cf8e9660d4833d1abf1ccde6e3	18.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0
d1dc8d3ec6e485baf19766529baf3e7b	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46045d4dde51740390ad79d08b5e8ae2	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0596ae9a3bda76ddc2878f2a301ba75e	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
599e9bf055917fc15f72c7b50697f4e3	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
576a1f1232e44a39ce17f2d39f5f9386	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ab1d714cc45e3cf550c6cc5313676b71	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
849cc34592f6ccffffb5338aee8ca100	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e28643d0fb2e669870672397489e6308	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d20ed143ff6666950591d4ed11422091	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66b375e1f08dc65c6f7edc53c3c7637b	14.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
be8dc1271132728b62d899f6fe83b643	14.0	0.0	0.0	0.0	0.0	0.0	336.0	0.0	0.0	246.0
1d39c42ec6dbef25d91fe15ae5d7698f	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0bee101ff7bf63dceb2a74b375b35957	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d376042cb134fc38619a9ef773aba843	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d43648e0f97d2d519f9413d07a7983e0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2b3230c0f193d6e9a952070b2daa26fc	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5be1d53751f3907ff2f5d002e6a3d716	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e568316642a9d4f2542e85dcc7267df7	11.0	0.0	0.0	0.0	0.0	3.0	89.0	0.0	0.0	20.0
3a4e2838f8e3000c3c03392c8324097d	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a9c8234810506af8ec2e04478be77639	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
070f050e9447955dbd0a337e39dfa82a	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b17ea79010fd88460a39869e298518b5	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7cbdda0adab9a330a9bf244c564c14c1	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9d0e99a42b0cb7146359cdb3bc6ad85f	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12b95c09e611d4483969bdd66a94b78c	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
d5f5434e4c3e0951abf2e112fd8f35c0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b11836b4f210ca17a936de0364baf8ba	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
004d085bdee429e05a20a38056800aab	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58361fd36d93b8d6dad1be21ba9a12a0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
e61cc491d9df6c06875e3ddcda2ae475	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e8a5424e827e42ff45ca4b2217d4dc18	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2f58d3548acb7b927d61da367e93bf4c	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75d59202786c1b63b228be47313ef3dc	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98d2a53535a08812e4a0db8fc3b0c5ce	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36faf221a115a1ca8585332c1606e590	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45a1dd9a159df2419eb86f46027a44df	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48b91589dd2823cd21b22d46510ed05f	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e476ac2dd1579683c95e177fc0871acd	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
