# Constructed from biom file
#OTU ID	CTRL-neg-extraction-PUF	ctrl-PCR-neg-PUF	PUF-BOT-10	PUF-BOT-3	PUF-BOU-7	PUF-IPEX-1	PUF-IPEX-3	PUF-IPEX-8	PUF-JD-10	PUF-JD14	PUF-MBO-4
0818b54bc8491e9ca30cf7de1cc0eedc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.0	0.0
ddfd319f3d88ba3067d804c949cf1f1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154.0	0.0
770b7c02db99c896c4619f41c1493bbd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0
d1f498b407238a672962bbedb106f9f0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	128.0
ce9e585d5196adf56f4e2c0e02e27b73	0.0	0.0	90.0	0.0	0.0	0.0	19.0	0.0	24.0	0.0	12.0
2a06217d46605d2c8981d0484ee29b48	0.0	0.0	144.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e2f909b13c3ebf8128f397a64f5faae1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	0.0
8c03c00ae629a80575bd794e13111cda	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0
1142518fec35349a10526c4d8a536dde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	0.0	0.0
a9649dc75c437494ef47fb5c4191b00f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.0
efe1ce8e8d1b9cdb5da01eb790e3abcc	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	103.0	0.0	0.0
e439522cd8251257ad5f39d1c8d30a44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0
c684f602961d1fa707824757cb55af21	0.0	0.0	0.0	0.0	13.0	0.0	0.0	109.0	13.0	0.0	0.0
735b9d7e78b93096d71558f13616109a	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	103.0	0.0	0.0
96a0494384879f88e0d938e425ffa548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.0	0.0	0.0	0.0
889a39ca8d956f2329215d437c5b6031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0
5ec0c4b740623cfb7faf840d836c5204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0
