"Library","Sample","ID_order","site","from","to","Feature.ID","Confidence","Reads","k","p","c","o","f","g","s"
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","02e9a719b9dab5bd47c5fa414506bceb","0.953846760547688",82,"Fungi_4751","Ascomycota_4890","Leotiomycetes_147548",NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","241d63921df4e74eac41e6df13cb6839","0.821230257630568",32,"Fungi_4751","Ascomycota_4890","Sordariomycetes_147550","Hypocreales_5125",NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","60ed8a06138d911c61bed7f3f6fd672a","0.990641217654615",106,"Fungi_4751","Basidiomycota_5204","Agaricomycetes_155619","Agaricales_5338","Schizophyllaceae_5332","Schizophyllum_5333","Schizophyllum_commune_5334"
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","1fb0d495676b0238c96db96dd62b7a28","0.854412017910718",21,"Fungi_4751","Ascomycota_4890","Saccharomycetes_4891","Saccharomycetales_4892","Saccharomycetaceae_4893","Saccharomyces_4930",NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","13cff813e66c4b42868a7da9ec168ece","0.91756556220675",16,"Fungi_4751","Ascomycota_4890","Sordariomycetes_147550","Hypocreales_5125",NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","5be1d53751f3907ff2f5d002e6a3d716","0.915464081512389",129,"Fungi_4751","Ascomycota_4890","Leotiomycetes_147548",NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","a9649dc75c437494ef47fb5c4191b00f","0.499632601664568",85,"Fungi_4751","Mucoromycota_1913637","Mucoromycetes_2212703","Mucorales_4827","Lichtheimiaceae_499202","Lichtheimia_688353","Lichtheimia_hongkongensis_549293"
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","0ba7f6bb10f8942755a4f712e7edd234","0.652448760589441",23,"Metazoa_33208","Arthropoda_6656","Arachnida_6854",NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","332d4393db73c7427984790777e06dd6","0.353990995074119",15,"Metazoa_33208","Arthropoda_6656","Arachnida_6854",NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","0cb311ec6ba6cad1e44a283d562f61a4","0.476078933611679",19,"Fungi_4751","Ascomycota_4890","Dothideomycetes_147541","Pleosporales_92860","Shiraiaceae_224418","Shiraia_224419","Shiraia_bambusicola_224420"
