# Constructed from biom file
#OTU ID	CTRL-neg-extraction-PUF	ctrl-PCR-neg-PUF	PUF-BOT-10	PUF-BOT-3	PUF-BOU-7	PUF-IPEX-1	PUF-IPEX-3	PUF-IPEX-8	PUF-JD-10	PUF-JD14	PUF-MBO-4
9a4e8fcb141854d158a02347f61b6677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0
2897967c22c5a0dfbbb10f37d5bf0ca9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0
cc71aa32d19418d8afe27f4faece796a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0
170bd1df6cd1fcbeba5d7357a43e0d39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0
8de0ceea0aa3a9d75a939710230d8692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0
b4c99e647246fe354ccd44ed64899aca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0
f1dda7b80cfb6e36e3ece14089affcaa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0
dc2016da0d821801aa1a04d64573b9a9	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0
e23d4d68b48e4b83cf01886ffe336b3e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0
6d8dcb4a0efdb2ac4ca7aa0d1cf8260a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0
35463d279803cb87e90a63caf2e28f41	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0
36e05f61f23d1c5c3f0e88d31c331868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0
d849520ff66c372cfe7bedbf707f00e2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0
f2ce8da7226f8eb794d7964bc54e4e54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0
79e1e83a6376294b6c7188645640ec18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0
e323d89b729b21b1b66f21b3933934b9	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0
fae168a59af9d6239f856fa454ec64ab	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0
317fb7c404ad49fb130512996fd888e4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0
5713ef1d01a4836fdd2e8655e2cd9d3e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0
71b5eecd67492231f3c0a119cdcf7d4c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0
5aed11ba544c173021f3e6b6409a1d21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0
81d7bc46b2af0c20c13e4910eca6d68c	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5837e87d66dc2ba69f69e739886a2e31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0
81bf8b3df0422219a24991739d463ffe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0
6beec138276f126263786a70c4dd1af0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0
9219812b9eddb1821edab94106588e0b	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17f9db44056ca929c16b9c8057d34394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0
