# Constructed from biom file
#OTU ID	PUF-IPEX-3	PUF-BOU-7	PUF-MBO-4	PUF-BOT-3	CTRL-neg-extraction-PUF	PUF-BOT-10	PUF-JD-10	PUF-IPEX-1	PUF-IPEX-8	PUF-JD14
589974931988706a852f1bb2c5aa12dc	31.0	16.0	736.0	1.0	0.0	0.0	69.0	0.0	3859.0	169.0
1d534186f20b242a93cb7e6b95377dee	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
723fc0509a818919c3b86838e64e8ac6	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8187787e018ce4815342f12d65ff7dc8	28.0	0.0	31.0	0.0	0.0	0.0	0.0	2.0	0.0	110.0
c1d3a60fd01c1a6a9e7caab084de0b3c	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
efe1ce8e8d1b9cdb5da01eb790e3abcc	26.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0
915a47b4d3aa9b7794496314e638d3f4	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1df8ad75688f7b9844c611cc87f3f889	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0
8e912b58de9ac7c94d8ccdb252e4256b	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87e30c3f3485f697a459ff0bff3ae47f	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ce9e585d5196adf56f4e2c0e02e27b73	24.0	0.0	10.0	0.0	0.0	75.0	12.0	0.0	4.0	0.0
26546df439865e41f784f18f7a701b54	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0cb8545bcd40c39e0dc3b54c890b9b19	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
945bd633c00552164446ce1c2ba94461	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
250d17eba03bf76ef3b4e3dc5e4150d0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ede510d310252729eec3c51068e583e0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a3612a98863d0cb2a0423fb56a0bef70	20.0	19.0	127.0	45.0	20.0	151.0	35.0	13.0	32.0	100.0
911691df900d63866f995dc97e6fb804	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84fc56f0b8549db7f28efc3c5393cd75	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41c45339d38abd4ca6fa64f0573bf936	17.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
dc2016da0d821801aa1a04d64573b9a9	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aec35e427b95f1cbf2c6d6503e172a4f	15.0	2.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	68.0
3622d4cdf954a474607e887ff8e0e8d6	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4d49fe44879812a0b0f69cc2ecfff3e9	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
696a81121e22498ecd36b0222a1f3e45	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
599e9bf055917fc15f72c7b50697f4e3	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
be8dc1271132728b62d899f6fe83b643	14.0	0.0	0.0	0.0	0.0	0.0	239.0	0.0	0.0	185.0
b13a07a3dbfa89683b970f2fafb3f2ba	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6a73afbd4d193e9f1e3393f8fc0d0751	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1d39c42ec6dbef25d91fe15ae5d7698f	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0596ae9a3bda76ddc2878f2a301ba75e	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fddd63d43d5f4e96da038b4517dbebce	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
945d952a1ecf5c47f2e6d707ba8048bb	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0b00058d4ea560d1f485a16ec9bd4bbb	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a26e6cc23365c60897b7d620c23de990	12.0	0.0	2.0	0.0	0.0	0.0	56.0	0.0	0.0	84.0
c23caf9278e0952a7d0738be34f6b169	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
576a1f1232e44a39ce17f2d39f5f9386	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68d00464a20b39785bcf8de918ec41dc	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46045d4dde51740390ad79d08b5e8ae2	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
