# Constructed from biom file
#OTU ID	PUF-IPEX-3	PUF-BOU-7	PUF-MBO-4	PUF-BOT-3	CTRL-neg-extraction-PUF	PUF-BOT-10	PUF-JD-10	PUF-IPEX-1	ctrl-PCR-neg-PUF	PUF-IPEX-8	PUF-JD14
48b91589dd2823cd21b22d46510ed05f	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bc48ffd8228119d1b9a07179a0b58d82	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
300e20fe1e102f5ebbe18452d8e4f3c7	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52439a88102d1659de7ddee4fcb14cba	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a1e5340afd1877bae4a25354fad5220e	4.0	12.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
1856623b5c61dc63c815a0e9bc93eaec	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6edf307ceed9a1884b4d6d410ccd3c1e	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a7e915ac17e7cee19c1eda6cf7401ded	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
0654cc62f2b2d1f6652ba8acca4ba9fb	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	55.0
f7222716d670cb5133bc3cc14b904be7	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0affcdb8ffcbae3d2c99d5d64c427a0f	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8093a9727fc801421441c787f5e3be19	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86e05701d41fde8e962d008c2a58a050	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
